num,treat,date,time,num_flow,num_lgb,num_stripey,num_bomb,num_syrph,num_tinyblackbee,num_other
34,C,6/25/14,13:47,10,2,1,0,0,0,0
28,C,6/25/14,14:12,18,2,0,0,1,0,0
30,M,6/25/14,14:00,10,0,0,0,0,0,0
27,M,6/25/14,14:12,33,2,0,0,0,0,1
33,M,6/25/14,14:38,14,0,0,0,0,0,0
35,WC,6/25/14,13:47,11,2,0,0,0,0,0
29,WC,6/25/14,14:00,5,3,0,0,0,0,0
23,WC,6/25/14,14:26,50,4,0,0,0,0,0
26,WC,6/25/14,14:26,34,4,0,0,0,0,0
32,WC,6/25/14,14:38,23,0,0,0,0,0,0
22,C,6/26/14,10:03,8,0,0,0,0,0,0
31,C,6/26/14,10:03,8,0,0,0,0,0,0
25,C,6/26/14,12:23,13,4,0,0,0,0,0
19,C,6/26/14,12:35,13,4,1,0,0,0,0
16,C,6/26/14,12:46,16,1,0,1,0,0,0
13,C,6/26/14,13:01,16,1,0,0,0,0,0
1,C,6/26/14,13:13,5,2,0,0,0,0,0
4,C,6/26/14,13:41,22,2,2,1,0,0,0
7,C,6/26/14,14:14,15,2,0,0,0,0,0
10,C,6/26/14,14:36,28,6,0,0,0,0,0
70,C,6/26/14,15:13,9,0,0,0,0,0,0
21,M,6/26/14,12:12,18,2,0,0,0,0,0
18,M,6/26/14,12:35,19,3,1,0,0,0,0
12,M,6/26/14,13:13,27,6,2,0,0,0,0
3,M,6/26/14,13:41,9,1,0,1,0,0,1
6,M,6/26/14,13:52,7,2,0,0,0,0,0
36,M,6/26/14,14:03,10,2,0,0,3,0,0
9,M,6/26/14,14:25,38,4,0,0,0,0,0
69,M,6/26/14,15:25,15,0,0,0,0,0,0
66,M,6/26/14,15:25,17,0,0,0,0,0,0
20,WC,6/26/14,12:12,23,1,0,0,0,0,0
17,WC,6/26/14,12:46,17,4,0,0,0,0,0
14,WC,6/26/14,13:01,15,0,1,0,0,0,1
5,WC,6/26/14,13:52,16,5,0,0,0,0,0
5,WC,6/26/14,14:14,17,4,0,2,0,0,0
8,WC,6/26/14,14:25,34,2,0,0,0,0,0
11,WC,6/26/14,14:36,36,1,0,0,0,0,0
68,WC,6/26/14,15:13,33,0,0,0,0,0,0
65,WC,6/26/14,15:25,13,1,0,0,0,0,0
67,C,6/27/14,10:21,7,0,0,0,0,0,0
40,C,6/27/14,10:58,5,2,0,0,0,0,0
73,C,6/27/14,10:45,99,5,0,0,0,0,0
43,C,6/27/14,11:10,14,8,0,0,0,0,0
52,C,6/27/14,13:07,12,3,0,0,3,0,0
49,C,6/27/14,12:56,14,7,0,0,0,0,0
46,C,6/27/14,11:22,0,0,0,0,0,0,0
58,C,6/27/14,14:20,12,1,0,0,0,0,0
75,M,6/27/14,10:21,32,2,1,1,0,0,0
72,M,6/27/14,10:33,31,1,0,1,1,0,0
39,M,6/27/14,10:58,14,0,0,0,0,0,0
42,M,6/27/14,11:10,23,8,0,0,0,0,1
60,M,6/27/14,13:41,29,0,0,1,0,0,0
48,M,6/27/14,11:22,7,1,0,0,0,0,0
51,M,6/27/14,12:56,9,2,0,0,0,0,0
54,M,6/27/14,13:19,29,2,2,1,1,0,0
71,WC,6/27/14,10:33,81,3,0,2,0,0,0
44,WC,6/27/14,10:58,18,5,1,0,0,0,0
38,WC,6/27/14,10:10,20,1,0,1,0,0,0
74,WC,6/27/14,10:45,53,2,0,0,0,0,0
41,WC,6/27/14,11:10,5,4,0,0,0,0,0
47,WC,6/27/14,11:22,21,1,0,0,0,0,0
50,WC,6/27/14,12:56,9,2,0,0,1,0,0
53,WC,6/27/14,13:19,28,3,6,1,0,0,0
59,WC,6/27/14,13:52,20,1,2,0,0,0,0
56,WC,6/27/14,13:52,7,0,0,0,0,0,0
46,C,7/4/14,9:16,5,1,0,0,0,0,1
43,C,7/4/14,9:16,15,2,0,0,0,0,0
49,C,7/4/14,9:27,2,0,0,0,0,0,0
